Date,Calories,Fat,Carb,Protein,Fiber
6/18,99999999999.0,69.1,124.4,125.6,20.2
6/19,3787.5,147.0,315.5,195.6,20.6
6/20,2558.6,106.7,189.2,189.7,30.1
6/21,4294.5,173.0,289.8,230.5,22.2
6/22,2649.7,130.1,212.3,160.5,31.2
6/23,3653.0,179.7,303.1,220.0,31.7
6/24,3192.3,145.0,282.8,230.2,38.3
6/25,3403.9,149.4,307.2,214.7,33.2
6/26,3474.9,112.7,324.3,170.2,38.9
6/27,3743.1,200.2,237.5,300.5,22.6
6/28,3355.2,149.2,281.5,230.2,31.5
6/29,2597.7,141.2,183.5,193.7,23.3
6/30,2953.0,107.4,318.2,202.6,31.7
7/1,3334.0,147.5,296.1,207.5,41.6
7/2,2425.8,111.4,213.5,187.5,26.8
7/3,2852.5,125.8,260.8,181.2,18.6
7/4,3424.4,165.9,250.1,236.3,38.7
7/5,3117.9,148.5,205.5,235.9,24.0
7/6,3572.0,179.8,310.5,220.7,29.8
7/7,2429.8,97.1,262.0,186.3,45.8
7/8,3371.0,157.9,334.8,215.6,45.3
7/9,3183.9,125.5,296.6,215.8,52.1
7/10,3536.8,143.5,347.6,204.0,45.2
7/11,3096.8,140.9,263.7,202.1,39.5
7/12,3468.3,168.9,306.4,216.8,52.0
7/13,3403.5,171.0,317.4,207.0,39.7
7/14,3346.4,144.8,304.6,228.2,42.5
7/15,3956.0,186.0,343.6,285.9,48.9
7/16,3637.0,170.3,273.7,222.2,39.9
7/17,3139.2,129.3,331.8,209.2,44.6
7/18,2664.1,108.8,234.0,184.7,35.2
7/19,3095.0,156.3,209.5,214.7,26.3
7/20,3360.2,148.6,290.3,205.4,30.2
7/21,3102.1,127.7,305.6,206.2,19.9
7/22,2673.0,108.8,230.2,208.4,26.5
7/23,2870.1,125.2,182.9,209.0,18.4
7/24,2557.5,148.3,167.4,192.7,30.9
7/25,2940.6,136.7,222.9,210.8,20.2
7/26,3311.5,162.6,170.7,289.5,14.8
7/27,3416.8,172.3,231.3,228.7,33.1
7/28,2386.0,103.3,160.4,165.3,15.8
7/29,2509.2,131.7,184.7,189.1,15.8
7/30,3267.4,163.1,179.7,280.2,15.6
7/31,2988.2,136.7,233.5,220.9,21.5
8/1,3158.5,138.0,264.2,240.3,24.0
8/2,3252.3,165.9,229.2,219.9,20.5
8/3,2743.0,105.4,246.5,211.5,26.2
8/4,3213.9,135.1,315.3,197.3,31.1
8/5,3177.9,155.7,293.9,200.3,43.6
8/6,3248.3,148.9,256.4,229.2,18.1
8/7,2864.0,165.0,165.0,187.3,19.8
8/8,3107.3,146.3,238.6,221.3,19.8
8/9,3200.1,163.0,225.1,236.6,18.7
8/10,2764.1,119.8,244.6,128.0,20.0
8/11,1739.8,65.0,230.1,65.4,9.2
8/12,3169.2,149.7,281.5,181.9,14.5
8/13,2111.0,94.1,158.9,150.3,13.0
8/14,2881.8,134.9,201.4,215.5,18.7
8/15,2768.3,134.6,208.0,185.5,18.6
8/16,3248.3,148.9,256.4,229.2,18.1
8/17,3346.4,144.8,304.6,228.2,42.5
8/18,3322.8,175.7,237.2,190.5,35.0
8/19,3180.8,137.1,284.0,208.5,27.8
8/20,3115.2,140.3,270.4,199.7,27.9
8/21,2883.5,126.1,258.8,229.8,29.3
8/22,2660.8,133.9,175.9,194.5,20.5
8/23,3284.2,157.1,283.8,197.1,17.3
8/24,3339.4,145.5,351.4,183.9,26.6
